"","smoc2_normal1","smoc2_normal3","smoc2_normal4","smoc2_fibrosis1","smoc2_fibrosis2","smoc2_fibrosis3","smoc2_fibrosis4"
"ENSMUSG00000000605",1749,2137,2093,3031,2242,2367,2282
"ENSMUSG00000000606",0,0,0,0,0,0,0
"ENSMUSG00000000617",0,1,0,0,1,0,1
"ENSMUSG00000000627",0,2,3,41,32,33,34
"ENSMUSG00000000628",14,17,7,555,455,420,239
"ENSMUSG00000000631",6126,7043,7354,10268,8066,7623,7464
"ENSMUSG00000000632",6,3,5,30,39,28,36
"ENSMUSG00000000673",3240,3746,4925,526,563,914,563
"ENSMUSG00000000682",77,57,63,1538,1263,1328,1567
"ENSMUSG00000000686",25,11,21,36,33,28,35
"ENSMUSG00000000690",952,1226,1404,2198,1823,2394,1264
"ENSMUSG00000000693",48,66,54,711,527,629,557
"ENSMUSG00000000701",0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,3,2,0,1,1
"ENSMUSG00000000708",1103,929,1112,1290,1043,1036,1098
"ENSMUSG00000000711",1440,1429,1707,1994,1567,1537,1502
"ENSMUSG00000000724",0,0,0,1,0,2,1
"ENSMUSG00000000730",1,4,3,39,32,15,20
"ENSMUSG00000000731",10,22,5,17,15,30,12
"ENSMUSG00000000732",248,288,245,829,656,725,757
"ENSMUSG00000000738",2173,2687,2850,2336,1833,1883,1728
"ENSMUSG00000000739",37,44,44,152,98,222,126
"ENSMUSG00000000740",2437,3227,3140,6530,5414,6296,4036
"ENSMUSG00000000743",1507,2093,2160,2918,2217,2542,2278
"ENSMUSG00000000751",842,1012,1091,1529,1224,1333,1276
"ENSMUSG00000000753",45,49,24,686,597,650,357
"ENSMUSG00000000759",760,979,922,1796,1375,1524,1353
"ENSMUSG00000000766",0,0,0,1,0,0,2
"ENSMUSG00000000776",464,523,430,731,575,678,457
"ENSMUSG00000000782",19,33,19,328,195,310,249
"ENSMUSG00000000787",4925,3837,4918,9272,7404,6779,7639
"ENSMUSG00000000791",1,11,3,33,36,31,33
"ENSMUSG00000000792",3,4,6,14,6,8,11
"ENSMUSG00000000794",22,28,28,53,35,66,48
"ENSMUSG00000000804",1488,1339,1565,2029,1744,1603,1470
"ENSMUSG00000000805",2750,2826,3142,1589,1668,2272,1869
"ENSMUSG00000000811",705,806,803,670,619,751,633
"ENSMUSG00000000817",0,1,4,10,8,28,10
"ENSMUSG00000000823",1004,1068,1171,1960,1500,1857,1740
"ENSMUSG00000000826",1900,2260,2465,4843,3751,3572,3379
"ENSMUSG00000000827",985,1170,1253,3017,2257,2755,2448
"ENSMUSG00000000838",1050,895,1163,2118,1543,1437,1385
"ENSMUSG00000000861",9,4,12,30,28,36,30
"ENSMUSG00000000869",17,29,25,49,36,54,32
"ENSMUSG00000000876",2293,3032,2799,1189,1303,1935,1772
"ENSMUSG00000000881",623,745,835,1242,856,1112,842
"ENSMUSG00000000884",87,97,98,165,102,143,109
"ENSMUSG00000000889",3,1,2,0,0,21,0
"ENSMUSG00000000901",172,346,248,1748,1052,1274,905
"ENSMUSG00000000902",845,1206,1193,2534,2065,2303,1663
"ENSMUSG00000000903",1,2,11,13,3,13,7
"ENSMUSG00000000915",2040,2410,2670,4727,3740,3830,3335
"ENSMUSG00000000916",199,244,277,420,312,310,254
"ENSMUSG00000000934",560,722,822,618,511,697,535
